KEEP,CATEGORY,ACTIVITY_NAME,COMBINED_FROM,DESCRIPTION,DURATION,DIFFICULTY,PRACTICAL_FOR
,E,Values-Based Decision Making,Marcus Aurelius + Socrates + Joan of Arc,"Make all decisions based on core virtues and personal principles rather than convenience or external pressure",Ongoing,3,Both - builds character and integrity
,E,Daily Accountability Questions,Benjamin Franklin,"Ask 'What good shall I do today?' (morning) and 'What good have I done?' (evening) for intentional living",2 min,1,Both - focuses on contribution and self-improvement
,E,Systematic Character Development,Benjamin Franklin,"Focus on developing one specific virtue or character trait weekly over 13-week cycles",Ongoing,3,Both - proven system for personal improvement
,M,Structured Learning Time,Benjamin Franklin + Mandela + Douglass,"Dedicate specific daily time to reading, learning, and skill development with systematic approach",45-60 min,2,Both - essential for personal and professional growth
,C,Thoughtful Communication,Benjamin Franklin + Abraham Lincoln,"Carefully craft important communications, considering impact, word choice, and how message will be received",30 min,3,Both - essential for relationships and professional success
,C,Questioning Dialogue Technique,Buddha + Socrates,"Use questions rather than assertions to guide others to insights, teach through inquiry rather than lecturing",Ongoing,2,Both - excellent parenting, leadership, and relationship skill
,E,Self-Examination Practice,Socrates + Confucius,"Regular honest examination of own beliefs, motivations, actions, and moral development",15 min,2,Both - develops self-awareness and authenticity
,C,Teaching and Mentoring,Multiple role models,"Share knowledge and skills with others, adapt teaching style to individual needs and personalities",Ongoing,2,Both - develops leadership and contributes to community
,C,Public Speaking Practice,Frederick Douglass + Eleanor Roosevelt + MLK,"Regular practice of speaking clearly and persuasively about important topics to various audiences",30 min,3,Both - valuable professional and personal skill
,C,Daily Writing Practice,Maya Angelou + Eleanor Roosevelt + Churchill + Douglass,"Consistent daily writing to develop communication skills, process experiences, and express ideas clearly",30-60 min,2,Both - essential communication skill and self-awareness tool
,C,Storytelling and Humor,Abraham Lincoln,"Practice using stories and appropriate humor to connect with others, illustrate points, and build relationships",Ongoing,2,Both - improves communication and relationships
,B,Daily Exercise Routine,Theodore Roosevelt + Mandela,"Maintain regular physical exercise as foundation for mental and physical health, choosing activities you enjoy",30-60 min,2,Both - essential for overall health and resilience
,B,Strategic Rest and Recovery,Winston Churchill,"Take strategic naps or rest periods to recharge energy and maintain high productivity throughout the day",30-90 min,1,Both - improves energy management and prevents burnout
,C,Creative Expression Activity,Einstein + Churchill,"Regular engagement in music, art, crafts, or other creative activities as both skill development and stress relief",60 min,1,Both - provides creative outlet and active recovery
,M,Thought Experiments,Albert Einstein,"Mental visualization of 'what if' scenarios and creative problem-solving through imaginative exploration",15-30 min,2,Both - develops innovative thinking and creativity
,M,Simplification Practice,Steve Jobs,"Daily practice of asking 'What can I eliminate?' to focus on essentials and reduce unnecessary complexity",10 min,2,Both - helps with decision-making and life management
,S,Daily Spiritual Practice,Joan of Arc + MLK + Mother Teresa,"Regular prayer, meditation, or spiritual study for grounding, guidance, and inner peace",20-30 min,1,Both - provides spiritual foundation and resilience
,S,Prayer for Others,Joan of Arc + Mother Teresa,"Regular practice of focusing prayers or positive intentions on others' wellbeing rather than personal desires",10-15 min,1,Both - develops service mindset and compassion
,E,Ethical Standards Maintenance,Joan of Arc + Rosa Parks,"Establish personal moral principles and follow them consistently regardless of external pressure or convenience",Ongoing,3,Both - builds character and self-respect
,C,Leading by Example,Joan of Arc + Rosa Parks,"Consistently model the behavior, work ethic, and standards you expect from others in family or professional settings",Ongoing,2,Both - essential parenting and leadership principle
,M,Language and Skill Learning,Nelson Mandela,"Regular study of new languages, skills, or subjects to expand understanding and opportunities",30 min,2,Both - increases personal growth and professional options
,S,Spiritual Text Study,Multiple spiritual leaders,"Daily study of meaningful spiritual or philosophical texts with personal reflection and application",30 min,2,Both - develops wisdom and moral foundation
,M,Triple-Journal Method,Marie Curie,"Keep separate journals for work/professional development, personal reflection, and family/relationship observations",15 min daily,2,Both - promotes organization and self-awareness
,E,Dignity in Daily Work,Rosa Parks + Mother Teresa,"Approach all daily tasks and interactions with dignity, pride, and respect regardless of circumstances",Ongoing,2,Both - builds self-respect and character
,M,Cross-Training Activities,Theodore Roosevelt,"Integrate multiple types of learning or physical activities into daily life rather than focusing on just one area",Ongoing,2,Both - promotes well-rounded development and prevents boredom
